iter	MultiClass	F1:class=0	F1:class=1	F1:class=2
118	0.2792094878	0.8664259928	0.9043478261	0.93640553
119	0.2782878462	0.8664259928	0.9043478261	0.93640553
120	0.277266589	0.8664259928	0.9027576197	0.9359742054
121	0.2765158601	0.8643761302	0.9027576197	0.9355432781
122	0.2749864056	0.8664259928	0.9027576197	0.9359742054
123	0.2742307067	0.8700361011	0.9011627907	0.9364640884
124	0.2728381076	0.8705035971	0.9027576197	0.9368372522
125	0.2719661129	0.8705035971	0.9040697674	0.9373271889
126	0.2708258246	0.8705035971	0.9040697674	0.9373271889
127	0.2686387494	0.8684684685	0.9040697674	0.9368954399
128	0.2677398485	0.8684684685	0.9037900875	0.9369535205
129	0.2669640012	0.8705035971	0.9053857351	0.9378166743
130	0.2661541144	0.8705035971	0.9082969432	0.9387379088
131	0.2648342783	0.8745519713	0.9130434783	0.9409048938
132	0.263246953	0.8785714286	0.9098837209	0.9409048938
133	0.2623909591	0.88057041	0.9101449275	0.941285252
134	0.2612559626	0.88057041	0.9101449275	0.941285252
135	0.2600681727	0.8865248227	0.9101449275	0.9425925926
136	0.2590143241	0.8884955752	0.9117221418	0.9434661724
137	0.2579239508	0.8884955752	0.9132947977	0.9439035698
138	0.2567977503	0.890070922	0.9130434783	0.9444444444
139	0.2556735521	0.8880994671	0.9143686502	0.9444958372
140	0.2546991349	0.8936170213	0.9175108538	0.9467345994
141	0.2537787806	0.8936170213	0.9175108538	0.9467345994
142	0.2522899804	0.8936170213	0.9175108538	0.9467345994
143	0.2514123364	0.8936170213	0.9175108538	0.9467345994
144	0.2509546621	0.8936170213	0.9175108538	0.9467345994
145	0.2502858498	0.8939929329	0.9161849711	0.9461966605
146	0.2489697144	0.8975265018	0.9161849711	0.9471243043
147	0.2484822019	0.8975265018	0.9146164978	0.9466852109
148	0.2477842665	0.8955752212	0.915942029	0.9467345994
149	0.2468603187	0.9029982363	0.9175108538	0.9489795918
150	0.2459377117	0.8975265018	0.9175108538	0.9476124247
151	0.2453125036	0.9010600707	0.9188405797	0.9490268767
152	0.2444766759	0.9010600707	0.9188405797	0.9490268767
153	0.2435125743	0.9010600707	0.9175108538	0.9485396384
154	0.2426006226	0.9014084507	0.9217391304	0.9499072356
155	0.2415077822	0.9010600707	0.9230769231	0.9504400185
156	0.2405331505	0.9029982363	0.9230769231	0.9508804449
157	0.239166367	0.9029982363	0.9259796807	0.9518072289
158	0.2383569272	0.9029982363	0.9261939219	0.9517625232
159	0.237384262	0.9049295775	0.9261939219	0.9522041763
160	0.2361656864	0.9045936396	0.9275362319	0.952734013
161	0.2354272933	0.9045936396	0.9275362319	0.952734013
162	0.2348282406	0.9045936396	0.9275362319	0.952734013
163	0.2336200341	0.9084507042	0.9290882779	0.9540603248
164	0.2327952729	0.9100529101	0.9304347826	0.9550301344
165	0.2324303849	0.9084507042	0.9290882779	0.9540603248
166	0.2318974804	0.9084507042	0.9290882779	0.9540603248
167	0.2313954689	0.9100529101	0.9319826339	0.9554730983
168	0.2303783415	0.911971831	0.9333333333	0.9564007421
169	0.2295468224	0.9135802469	0.9304347826	0.9559573482
170	0.2286895949	0.911971831	0.9333333333	0.9564007421
171	0.227887181	0.9135802469	0.9333333333	0.9568845619
172	0.2269901752	0.9154929577	0.9333333333	0.9573283859
173	0.2259717426	0.9154929577	0.9333333333	0.9573283859
174	0.2254259303	0.9154929577	0.9333333333	0.9573283859
175	0.2246443621	0.9171075838	0.9319826339	0.9573283859
176	0.2237209506	0.9171075838	0.9346879536	0.9582947173
177	0.2226025805	0.9222614841	0.9374090247	0.9606663582
178	0.221826483	0.9222614841	0.9389534884	0.9611111111
179	0.2213043231	0.9222614841	0.9375907112	0.9606299213
180	0.2205083274	0.9241622575	0.9389534884	0.9615562761
181	0.2193158356	0.9241622575	0.9391304348	0.9615206305
182	0.2187816796	0.927943761	0.9375907112	0.9619666048
183	0.2185184812	0.927943761	0.9375907112	0.9619666048
184	0.2180993516	0.926056338	0.9391304348	0.9619666048
185	0.2170819203	0.9298245614	0.9362318841	0.9619312906
186	0.2159471741	0.927943761	0.9362318841	0.9614849188
187	0.2152423557	0.927943761	0.9362318841	0.9614849188
188	0.2146805069	0.927943761	0.9362318841	0.9614849188
189	0.2138322362	0.927943761	0.9375907112	0.9619666048
190	0.2129666955	0.9298245614	0.9391304348	0.9628597957
191	0.212408744	0.9298245614	0.9391304348	0.9628597957
192	0.2121262017	0.9298245614	0.9420289855	0.9637883008
193	0.2111905081	0.9298245614	0.9420289855	0.9637883008
194	0.2100408696	0.9316987741	0.9418604651	0.9633410673
195	0.2096600882	0.9316987741	0.9433962264	0.9637883008
196	0.2086769287	0.9333333333	0.9435600579	0.9651648862
197	0.2081004915	0.9352014011	0.9449275362	0.9651648862
198	0.2077362114	0.9352014011	0.9418604651	0.9642691415
199	0.2071101094	0.9352014011	0.9449275362	0.9651648862
200	0.2064436034	0.9352014011	0.9449275362	0.9651648862
201	0.2054051118	0.9370629371	0.9433962264	0.9651648862
202	0.2043073729	0.9389179756	0.946298984	0.9665427509
203	0.203858137	0.9389179756	0.946298984	0.9665427509
204	0.2028219517	0.9389179756	0.946298984	0.9665427509
205	0.2021745392	0.9389179756	0.9476744186	0.9670227589
206	0.2014236852	0.9389179756	0.9492017417	0.967472119
207	0.2010494829	0.9389179756	0.9492017417	0.967472119
208	0.1999047251	0.9389179756	0.947826087	0.9669920967
209	0.199261943	0.9389179756	0.9493487699	0.9674418605
210	0.1986568476	0.9407665505	0.9493487699	0.9678920428
211	0.1981506169	0.9389179756	0.9493487699	0.9674418605
212	0.1976592785	0.9407665505	0.950867052	0.9683426443
213	0.1971706576	0.9426086957	0.950867052	0.9687936656
214	0.1962326041	0.9426086957	0.9522431259	0.969273743
215	0.1954133671	0.9444444444	0.9507246377	0.969273743
216	0.194972659	0.9426086957	0.9507246377	0.9688227082
217	0.1942239861	0.9426086957	0.9536231884	0.9697533737
218	0.1939039716	0.9426086957	0.9536231884	0.9697533737
219	0.1932584006	0.9426086957	0.9551374819	0.9702048417
220	0.1928474055	0.9426086957	0.9537572254	0.969725198
221	0.1922372864	0.9426086957	0.9537572254	0.9697251222222	0.1914447769	0.9462738302	0.9552669553	0.97223	0.200223	0.1909088153	0.9462738302	0.9552669553	0.224	0.19964224	0.1906238773	0.9462738302	0.9537572254	0.225	0.19921225	0.1900215529	0.9480968858	0.9551374819	0226	0.198433226	0.1896108796	0.9480968858	0.9551374819	227	0.1976488227	0.18927962	0.9480968858	0.9551374819	0.228	0.19702228	0.1889942887	0.9480968858	0.9551374819	229	0.1963637229	0.188308832	0.9480968858	0.9551374819	230	0.1955127230	0.1877473586	0.9480968858	0.9537572254231	0.19459606231	0.1873842227	0.9480968858	0.953757225232	0.194284550232	0.186714302	0.9480968858	0.955137481233	0.193534475233	0.1862686774	0.9480968858	0.955137481234	0.192708518234	0.1856617584	0.9480968858	0.9551374235	0.1920204073	235	0.1852991946	0.9480968858	0.9565217236	0.1911383636	236	0.1845282458	0.9515570934	0.959420237	0.1907231244	0237	0.1841619633	0.9515570934	0.95942238	0.1900362645	0.238	0.1833313203	0.9515570934	0.9594239	0.189669589	0.94239	0.1829331973	0.9515570934	0.95240	0.189113876	0.9446240	0.1822526571	0.9515570934	0.9241	0.1884189222	0.9446241	0.1814269483	0.9515570934	0.9242	0.1878391954	0.9446242	0.1807554722	0.9532062392	0.9243	0.1870308548	0.9462243	0.1803986114	0.9532062392	0.9244	0.1865145753	0.9480244	0.179910938	0.9532062392	0.96245	0.1862479217	0.946245	0.1792455583	0.9532062392	0.96246	0.1857871205	0.948246	0.1786464162	0.955017301	0.9623188406	0.9757688723
.9286956522	0.9447674419	0.9633070135

9421965318	0.9692451072
